run_dir,gate,dataset,stage,step,psnr,ssim,lpips,tlpips,num_gs,notes
outputs/gate1_selfcap_baseline_600,gate1,selfcap_baseline_600,val,599,18.910560607910156,0.660038411617279,0.3972831070423126,,92748,
outputs/gate1_selfcap_ours_weak_600,gate1,selfcap_ours_weak_600,val,599,18.79343605041504,0.6595771908760071,0.40379756689071655,,92749,
outputs/protocol_v1/gate1/selfcap_bar_8cam60f/ours_strong_600,gate1,strong_600,test,599,19.023561477661133,0.6660259962081909,0.4094184339046478,0.023285245522856712,92749,
outputs/protocol_v1/gate1/selfcap_bar_8cam60f/ours_strong_600,gate1,strong_600,val,599,18.498964309692383,0.6445246338844299,0.42360222339630127,,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/baseline_600,,600,test,599,18.949626922607422,0.6652533411979675,0.4047809839248657,0.022958582267165184,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/baseline_600,,600,val,599,18.46498680114746,0.6432386636734009,0.42169106006622314,,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/control_weak_nocue_600,,weak_nocue_600,test,599,19.109888076782227,0.6673901081085205,0.40332674980163574,0.023601584136486053,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/control_weak_nocue_600,,weak_nocue_600,val,599,18.592565536499023,0.6439102292060852,0.4188506007194519,,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/ours_strong_smoke60,,strong_smoke60,test,59,12.22487735748291,0.27593889832496643,0.6231561303138733,0.07738994061946869,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/ours_strong_smoke60,,strong_smoke60,val,59,12.983080863952637,0.2784174382686615,0.595828652381897,,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/ours_weak_600,,weak_600,test,599,19.019437789916992,0.6661184430122375,0.4036805033683777,0.02308126538991928,92749,
outputs/protocol_v1/selfcap_bar_8cam60f/ours_weak_600,,weak_600,val,599,18.50200843811035,0.6442282795906067,0.42056024074554443,,92749,
outputs/sweep_selfcap_baseline_gs4,,selfcap_baseline_gs4,val,199,12.9624605178833,0.3690102696418762,0.5810115337371826,,92749,
outputs/sweep_selfcap_baseline_gs6,,selfcap_baseline_gs6,val,199,12.962754249572754,0.3691346347332001,0.581329882144928,,92749,
outputs/sweep_selfcap_baseline_gs8,,selfcap_baseline_gs8,val,199,12.959497451782227,0.36953744292259216,0.5830125212669373,,92749,
outputs/sweeps/selfcap_bar_strong_lam0.01_end200_pairs200_s200,,bar_strong_lam0.01_end200_pairs200_s200,test,199,12.614665031433105,0.3068616986274719,0.6309348344802856,0.08737055957317352,92749,
outputs/sweeps/selfcap_bar_strong_lam0.01_end200_pairs200_s200,,bar_strong_lam0.01_end200_pairs200_s200,val,199,13.321562767028809,0.29737767577171326,0.6045709252357483,,92749,
outputs/sweeps/selfcap_bar_strong_lam0.02_end200_pairs200_s200,,bar_strong_lam0.02_end200_pairs200_s200,test,199,12.60864543914795,0.30693238973617554,0.6311427354812622,0.08753329515457153,92749,
outputs/sweeps/selfcap_bar_strong_lam0.02_end200_pairs200_s200,,bar_strong_lam0.02_end200_pairs200_s200,val,199,13.315179824829102,0.29726436734199524,0.6045247912406921,,92749,
outputs/sweeps/selfcap_bar_strong_lam0.05_end200_pairs200_s200,,bar_strong_lam0.05_end200_pairs200_s200,test,199,12.590346336364746,0.30594751238822937,0.631426215171814,0.08742016553878784,92749,
outputs/sweeps/selfcap_bar_strong_lam0.05_end200_pairs200_s200,,bar_strong_lam0.05_end200_pairs200_s200,val,199,13.304086685180664,0.2968083322048187,0.6055700182914734,,92749,
outputs/t0_zero_velocity/baseline,t0,,val,29999,25.586029052734375,0.8369477987289429,0.18314892053604126,,93274,
outputs/t0_zero_velocity/zero_velocity,t0,velocity,val,29999,25.995464324951172,0.8208911418914795,0.1803019642829895,,93274,
